REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sounds\F05_443C0202_BUS_clean.wav	 sounds\F05_443C0202_BUS.wav	 -1.000	 1.588	 16000	wb
sounds\F05_443C0203_BUS_clean.wav	 sounds\F05_443C0203_BUS_DSB.wav	 -1.000	 1.100	 16000	wb
sounds\F05_443C0203_BUS_clean.wav	 sounds\F05_443C0203_BUS_MVDR.wav	 -1.000	 1.185	 16000	wb
sounds\F05_443C0203_BUS_clean.wav	 sounds\F05_443C0203_BUS.wav	 -1.000	 1.445	 16000	wb
sounds\F05_443C0205_BUS_clean.wav	 sounds\F05_443C0205_BUS_DSB.wav	 -1.000	 1.053	 16000	wb
sounds\F05_443C0205_BUS_clean.wav	 sounds\F05_443C0205_BUS_MVDR.wav	 -1.000	 1.121	 16000	wb
sounds\F05_443C0205_BUS_clean.wav	 sounds\F05_443C0205_BUS.wav	 -1.000	 1.228	 16000	wb
sounds\F05_443C0206_BUS_clean.wav	 sounds\F05_443C0206_BUS_DSB.wav	 -1.000	 1.060	 16000	wb
sounds\F05_443C0206_BUS_clean.wav	 sounds\F05_443C0206_BUS_MVDR.wav	 -1.000	 1.123	 16000	wb
sounds\F05_443C0206_BUS_clean.wav	 sounds\F05_443C0206_BUS.wav	 -1.000	 1.142	 16000	wb
sounds\F05_443C0207_BUS_clean.wav	 sounds\F05_443C0207_BUS_DSB.wav	 -1.000	 1.101	 16000	wb
sounds\F05_443C0207_BUS_clean.wav	 sounds\F05_443C0207_BUS_MVDR.wav	 -1.000	 1.192	 16000	wb
sounds\F05_443C0207_BUS_clean.wav	 sounds\F05_443C0207_BUS.wav	 -1.000	 1.360	 16000	wb
sounds\F05_443C020D_BUS_clean.wav	 sounds\F05_443C020D_BUS_DSB.wav	 -1.000	 1.073	 16000	wb
sounds\F05_443C020D_BUS_clean.wav	 sounds\F05_443C020D_BUS_MVDR.wav	 -1.000	 1.141	 16000	wb
sounds\F05_443C020D_BUS_clean.wav	 sounds\F05_443C020D_BUS.wav	 -1.000	 1.251	 16000	wb
sounds\F05_443C020G_BUS_clean.wav	 sounds\F05_443C020G_BUS_DSB.wav	 -1.000	 1.111	 16000	wb
sounds\F05_443C020G_BUS_clean.wav	 sounds\F05_443C020G_BUS_MVDR.wav	 -1.000	 1.294	 16000	wb
sounds\F05_443C020G_BUS_clean.wav	 sounds\F05_443C020G_BUS.wav	 -1.000	 1.497	 16000	wb
sounds\F05_443C020I_BUS_clean.wav	 sounds\F05_443C020I_BUS_DSB.wav	 -1.000	 1.081	 16000	wb
sounds\F05_443C020I_BUS_clean.wav	 sounds\F05_443C020I_BUS_MVDR.wav	 -1.000	 1.154	 16000	wb
sounds\F05_443C020I_BUS_clean.wav	 sounds\F05_443C020I_BUS.wav	 -1.000	 1.198	 16000	wb
sounds\F05_443C020J_BUS_clean.wav	 sounds\F05_443C020J_BUS_DSB.wav	 -1.000	 1.163	 16000	wb
sounds\F05_443C020J_BUS_clean.wav	 sounds\F05_443C020J_BUS_MVDR.wav	 -1.000	 1.296	 16000	wb
sounds\F05_443C020J_BUS_clean.wav	 sounds\F05_443C020J_BUS.wav	 -1.000	 1.479	 16000	wb
sounds\F05_443C0210_BUS_clean.wav	 sounds\F05_443C0210_BUS_DSB.wav	 -1.000	 1.078	 16000	wb
sounds\F05_443C0210_BUS_clean.wav	 sounds\F05_443C0210_BUS_MVDR.wav	 -1.000	 1.165	 16000	wb
sounds\F05_443C0210_BUS_clean.wav	 sounds\F05_443C0210_BUS.wav	 -1.000	 1.376	 16000	wb
sounds\F05_444C0201_BUS_clean.wav	 sounds\F05_444C0201_BUS_DSB.wav	 -1.000	 1.117	 16000	wb
sounds\F05_444C0201_BUS_clean.wav	 sounds\F05_444C0201_BUS_MVDR.wav	 -1.000	 1.250	 16000	wb
sounds\F05_444C0201_BUS_clean.wav	 sounds\F05_444C0201_BUS.wav	 -1.000	 1.406	 16000	wb
sounds\F05_444C0202_BUS_clean.wav	 sounds\F05_444C0202_BUS_DSB.wav	 -1.000	 1.073	 16000	wb
sounds\F05_444C0202_BUS_clean.wav	 sounds\F05_444C0202_BUS_MVDR.wav	 -1.000	 1.139	 16000	wb
sounds\F05_444C0202_BUS_clean.wav	 sounds\F05_444C0202_BUS.wav	 -1.000	 1.160	 16000	wb
sounds\F05_444C020B_BUS_clean.wav	 sounds\F05_444C020B_BUS_DSB.wav	 -1.000	 1.141	 16000	wb
sounds\F05_444C020B_BUS_clean.wav	 sounds\F05_444C020B_BUS_MVDR.wav	 -1.000	 1.267	 16000	wb
sounds\F05_444C020B_BUS_clean.wav	 sounds\F05_444C020B_BUS.wav	 -1.000	 1.627	 16000	wb
sounds\F05_444C020C_BUS_clean.wav	 sounds\F05_444C020C_BUS_DSB.wav	 -1.000	 1.048	 16000	wb
sounds\F05_444C020C_BUS_clean.wav	 sounds\F05_444C020C_BUS_MVDR.wav	 -1.000	 1.080	 16000	wb
sounds\F05_444C020C_BUS_clean.wav	 sounds\F05_444C020C_BUS.wav	 -1.000	 1.038	 16000	wb
sounds\F05_444C020D_BUS_clean.wav	 sounds\F05_444C020D_BUS_DSB.wav	 -1.000	 1.112	 16000	wb
sounds\F05_444C020D_BUS_clean.wav	 sounds\F05_444C020D_BUS_MVDR.wav	 -1.000	 1.187	 16000	wb
sounds\F05_444C020D_BUS_clean.wav	 sounds\F05_444C020D_BUS.wav	 -1.000	 1.413	 16000	wb
sounds\F05_444C020F_BUS_clean.wav	 sounds\F05_444C020F_BUS_DSB.wav	 -1.000	 1.087	 16000	wb
sounds\F05_444C020F_BUS_clean.wav	 sounds\F05_444C020F_BUS_MVDR.wav	 -1.000	 1.193	 16000	wb
sounds\F05_444C020F_BUS_clean.wav	 sounds\F05_444C020F_BUS.wav	 -1.000	 1.280	 16000	wb
sounds\F05_444C020G_BUS_clean.wav	 sounds\F05_444C020G_BUS_DSB.wav	 -1.000	 1.126	 16000	wb
sounds\F05_444C020G_BUS_clean.wav	 sounds\F05_444C020G_BUS_MVDR.wav	 -1.000	 1.241	 16000	wb
sounds\F05_444C020G_BUS_clean.wav	 sounds\F05_444C020G_BUS.wav	 -1.000	 1.533	 16000	wb
sounds\F05_444C020H_BUS_clean.wav	 sounds\F05_444C020H_BUS_DSB.wav	 -1.000	 1.074	 16000	wb
sounds\F05_444C020H_BUS_clean.wav	 sounds\F05_444C020H_BUS_MVDR.wav	 -1.000	 1.134	 16000	wb
sounds\F05_444C020H_BUS_clean.wav	 sounds\F05_444C020H_BUS.wav	 -1.000	 1.233	 16000	wb
sounds\F05_444C020Y_BUS_clean.wav	 sounds\F05_444C020Y_BUS_DSB.wav	 -1.000	 1.132	 16000	wb
sounds\F05_444C020Y_BUS_clean.wav	 sounds\F05_444C020Y_BUS_MVDR.wav	 -1.000	 1.262	 16000	wb
sounds\F05_444C020Y_BUS_clean.wav	 sounds\F05_444C020Y_BUS.wav	 -1.000	 1.762	 16000	wb
sounds\F05_444C0210_BUS_clean.wav	 sounds\F05_444C0210_BUS_DSB.wav	 -1.000	 1.156	 16000	wb
sounds\F05_444C0210_BUS_clean.wav	 sounds\F05_444C0210_BUS_MVDR.wav	 -1.000	 1.273	 16000	wb
sounds\F05_444C0210_BUS_clean.wav	 sounds\F05_444C0210_BUS.wav	 -1.000	 1.448	 16000	wb
sounds\F05_444C0214_BUS_clean.wav	 sounds\F05_444C0214_BUS_DSB.wav	 -1.000	 1.194	 16000	wb
sounds\F05_444C0214_BUS_clean.wav	 sounds\F05_444C0214_BUS_MVDR.wav	 -1.000	 1.392	 16000	wb
sounds\F05_444C0214_BUS_clean.wav	 sounds\F05_444C0214_BUS.wav	 -1.000	 1.471	 16000	wb
sounds\F05_444C0215_BUS_clean.wav	 sounds\F05_444C0215_BUS_DSB.wav	 -1.000	 1.068	 16000	wb
sounds\F05_444C0215_BUS_clean.wav	 sounds\F05_444C0215_BUS_MVDR.wav	 -1.000	 1.140	 16000	wb
sounds\F05_444C0215_BUS_clean.wav	 sounds\F05_444C0215_BUS.wav	 -1.000	 1.245	 16000	wb
sounds\F05_445C0208_BUS_clean.wav	 sounds\F05_445C0208_BUS_DSB.wav	 -1.000	 1.065	 16000	wb
sounds\F05_445C0208_BUS_clean.wav	 sounds\F05_445C0208_BUS_MVDR.wav	 -1.000	 1.113	 16000	wb
sounds\F05_445C0208_BUS_clean.wav	 sounds\F05_445C0208_BUS.wav	 -1.000	 1.200	 16000	wb
sounds\F05_445C020I_BUS_clean.wav	 sounds\F05_445C020I_BUS_DSB.wav	 -1.000	 1.132	 16000	wb
sounds\F05_445C020I_BUS_clean.wav	 sounds\F05_445C020I_BUS_MVDR.wav	 -1.000	 1.245	 16000	wb
sounds\F05_445C020I_BUS_clean.wav	 sounds\F05_445C020I_BUS.wav	 -1.000	 1.462	 16000	wb
sounds\F05_445C020J_BUS_clean.wav	 sounds\F05_445C020J_BUS_DSB.wav	 -1.000	 1.163	 16000	wb
sounds\F05_445C020J_BUS_clean.wav	 sounds\F05_445C020J_BUS_MVDR.wav	 -1.000	 1.319	 16000	wb
sounds\F05_445C020J_BUS_clean.wav	 sounds\F05_445C020J_BUS.wav	 -1.000	 1.610	 16000	wb
sounds\F05_445C020M_BUS_clean.wav	 sounds\F05_445C020M_BUS_DSB.wav	 -1.000	 1.055	 16000	wb
sounds\F05_445C020M_BUS_clean.wav	 sounds\F05_445C020M_BUS_MVDR.wav	 -1.000	 1.129	 16000	wb
sounds\F05_445C020M_BUS_clean.wav	 sounds\F05_445C020M_BUS.wav	 -1.000	 1.258	 16000	wb
sounds\F05_445C020O_BUS_clean.wav	 sounds\F05_445C020O_BUS_DSB.wav	 -1.000	 1.118	 16000	wb
sounds\F05_445C020O_BUS_clean.wav	 sounds\F05_445C020O_BUS_MVDR.wav	 -1.000	 1.213	 16000	wb
sounds\F05_445C020O_BUS_clean.wav	 sounds\F05_445C020O_BUS.wav	 -1.000	 1.264	 16000	wb
sounds\F05_445C020P_BUS_clean.wav	 sounds\F05_445C020P_BUS_DSB.wav	 -1.000	 1.220	 16000	wb
sounds\F05_445C020P_BUS_clean.wav	 sounds\F05_445C020P_BUS_MVDR.wav	 -1.000	 1.402	 16000	wb
sounds\F05_445C020P_BUS_clean.wav	 sounds\F05_445C020P_BUS.wav	 -1.000	 1.806	 16000	wb
sounds\F05_445C020R_BUS_clean.wav	 sounds\F05_445C020R_BUS_DSB.wav	 -1.000	 1.145	 16000	wb
sounds\F05_445C020R_BUS_clean.wav	 sounds\F05_445C020R_BUS_MVDR.wav	 -1.000	 1.273	 16000	wb
sounds\F05_445C020R_BUS_clean.wav	 sounds\F05_445C020R_BUS.wav	 -1.000	 1.396	 16000	wb
sounds\F05_445C020X_BUS_clean.wav	 sounds\F05_445C020X_BUS_DSB.wav	 -1.000	 1.054	 16000	wb
sounds\F05_445C020X_BUS_clean.wav	 sounds\F05_445C020X_BUS_MVDR.wav	 -1.000	 1.088	 16000	wb
sounds\F05_445C020X_BUS_clean.wav	 sounds\F05_445C020X_BUS.wav	 -1.000	 1.171	 16000	wb
sounds\F05_445C020Y_BUS_clean.wav	 sounds\F05_445C020Y_BUS_DSB.wav	 -1.000	 1.061	 16000	wb
sounds\F05_445C020Y_BUS_clean.wav	 sounds\F05_445C020Y_BUS_MVDR.wav	 -1.000	 1.097	 16000	wb
sounds\F05_445C020Y_BUS_clean.wav	 sounds\F05_445C020Y_BUS.wav	 -1.000	 1.110	 16000	wb
sounds\F05_445C0213_BUS_clean.wav	 sounds\F05_445C0213_BUS_DSB.wav	 -1.000	 1.118	 16000	wb
sounds\F05_445C0213_BUS_clean.wav	 sounds\F05_445C0213_BUS_MVDR.wav	 -1.000	 1.202	 16000	wb
sounds\F05_445C0213_BUS_clean.wav	 sounds\F05_445C0213_BUS.wav	 -1.000	 1.427	 16000	wb
sounds\F05_446C0206_BUS_clean.wav	 sounds\F05_446C0206_BUS_DSB.wav	 -1.000	 1.223	 16000	wb
sounds\F05_446C0206_BUS_clean.wav	 sounds\F05_446C0206_BUS_MVDR.wav	 -1.000	 1.379	 16000	wb
sounds\F05_446C0206_BUS_clean.wav	 sounds\F05_446C0206_BUS.wav	 -1.000	 1.275	 16000	wb
sounds\F05_446C020B_BUS_clean.wav	 sounds\F05_446C020B_BUS_DSB.wav	 -1.000	 1.118	 16000	wb
sounds\F05_446C020B_BUS_clean.wav	 sounds\F05_446C020B_BUS_MVDR.wav	 -1.000	 1.232	 16000	wb
sounds\F05_446C020B_BUS_clean.wav	 sounds\F05_446C020B_BUS.wav	 -1.000	 1.492	 16000	wb
sounds\F05_446C020C_BUS_clean.wav	 sounds\F05_446C020C_BUS_DSB.wav	 -1.000	 1.211	 16000	wb
sounds\F05_446C020C_BUS_clean.wav	 sounds\F05_446C020C_BUS_MVDR.wav	 -1.000	 1.432	 16000	wb
sounds\F05_446C020C_BUS_clean.wav	 sounds\F05_446C020C_BUS.wav	 -1.000	 1.624	 16000	wb
sounds\F05_446C020E_BUS_clean.wav	 sounds\F05_446C020E_BUS_DSB.wav	 -1.000	 1.158	 16000	wb
